IdRegion,IdPais,IdEstado,IdMunicipio,Calle
1,1,1,1,Carretera San Miguel allende - Dolores Hidalgo KM 3.5 
2,1,1,1,Nuevo Libramiento San Miguel KM 10.2
3,1,1,1,Carretera Querétaro - San Miguel de Allende Km. 26
4,1,1,2,Carretera Dolores - Xoconostle Km. 8.5
5,1,1,2,San Luis de La Paz Km115
6,1,1,2,San Jose de Badillo
7,1,1,2,Carretera Dolores Hidalgo-San Diego de la Unión Km 13
8,1,1,1,Insurgentes 12b
9,1,1,3,Camino de la uva S/N El Nacimiento
10,1,1,4,Carretera Comonfort – San Miguel de Allende #1
11,1,1,4,Hacienda Rinconcillo de los Remedios
12,1,1,5,Ex Hacienda Lequeitio km 4
13,1,1,6,Carretera León Supermanzana km 22
