IdVinosUvas,IdVino,IdUva
1,1,1
2,2,2
3,3,3
4,4,3
5,4,4
6,5,2
7,5,5
8,6,6
9,7,6
10,8,6
11,9,6
12,10,6
13,11,7
14,11,8
15,11,1
16,11,3
17,12,7
18,13,5
19,14,8
20,15,2
21,15,8
22,15,9
23,15,3
24,16,9
25,17,4
26,18,3
27,18,5
28,18,7
29,19,8
30,19,10
31,20,7
32,21,8
33,21,5
34,21,2
35,21,3
36,22,3
37,22,5
38,23,8
39,23,2
40,24,3
41,24,7
42,24,8
43,25,7
44,26,3
45,27,12
46,28,8
47,28,5
48,29,11
49,30,7
50,31,8
51,31,11
52,32,5
53,33,5
54,34,3
55,35,7
56,36,7
57,37,7
58,38,3
59,38,5
60,38,8
61,38,2
62,38,7
63,39,3
64,39,5
65,39,8
66,39,2
67,39,7
68,40,7
69,40,8
70,41,7
71,41,3
72,41,5
73,42,7
74,42,8
75,43,5
76,44,3
77,45,8
78,46,8
79,46,5
80,46,2
81,46,10
82,47,8
83,47,5
84,47,2
85,47,10
86,48,8
87,48,5
88,48,2
89,48,10
90,49,2
91,50,3
92,50,10
93,51,3
94,51,7
95,51,8
96,51,11
97,52,7
98,53,5
99,54,3
100,55,5
101,55,7
102,55,9
103,56,7
104,57,8
105,58,8
106,59,8
107,60,7
